outlet1,outlet2,similarity
0,84,0.9560434222221375
84,0,0.9560434222221375
0,164,0.9560360908508301
164,0,0.9560360908508301
0,267,0.9560315608978271
267,0,0.9560315608978271
0,269,0.9560315608978271
269,0,0.9560315608978271
0,303,0.9560462236404419
303,0,0.9560462236404419
0,318,0.9560340642929077
318,0,0.9560340642929077
0,382,0.956047534942627
382,0,0.956047534942627
0,400,0.956045925617218
400,0,0.956045925617218
0,465,0.9560315608978271
465,0,0.9560315608978271
0,473,0.9560597538948059
473,0,0.9560597538948059
0,493,0.956055760383606
493,0,0.956055760383606
0,536,0.9560441970825195
536,0,0.9560441970825195
0,549,0.9560537338256836
549,0,0.9560537338256836
0,556,0.9560302495956421
556,0,0.9560302495956421
0,574,0.9560332298278809
574,0,0.9560332298278809
0,693,0.9560320973396301
693,0,0.9560320973396301
0,697,0.956045389175415
697,0,0.956045389175415
84,164,0.9560434818267822
164,84,0.9560434818267822
84,267,0.9560388326644897
267,84,0.9560388326644897
84,269,0.9560388326644897
269,84,0.9560388326644897
84,303,0.9560535550117493
303,84,0.9560535550117493
84,318,0.9560414552688599
318,84,0.9560414552688599
84,382,0.9560549259185791
382,84,0.9560549259185791
84,400,0.9560532569885254
400,84,0.9560532569885254
84,465,0.9560388326644897
465,84,0.9560388326644897
84,473,0.9560671448707581
473,84,0.9560671448707581
84,493,0.9560632705688477
493,84,0.9560632705688477
84,536,0.9560515880584717
536,84,0.9560515880584717
84,549,0.9560611248016357
549,84,0.9560611248016357
84,556,0.9560376405715942
556,84,0.9560376405715942
84,574,0.9560407400131226
574,84,0.9560407400131226
84,693,0.9560394883155823
693,84,0.9560394883155823
84,697,0.9560527801513672
697,84,0.9560527801513672
164,267,0.9560250043869019
267,164,0.9560250043869019
164,269,0.9560250043869019
269,164,0.9560250043869019
164,303,0.9560396671295166
303,164,0.9560396671295166
164,318,0.9560275077819824
318,164,0.9560275077819824
164,382,0.9560409784317017
382,164,0.9560409784317017
164,400,0.9560394287109375
400,164,0.9560394287109375
164,465,0.9560250043869019
465,164,0.9560250043869019
164,473,0.9560533165931702
473,164,0.9560533165931702
164,493,0.9560493230819702
493,164,0.9560493230819702
164,536,0.956037700176239
536,164,0.956037700176239
164,549,0.9560472369194031
549,164,0.9560472369194031
164,556,0.9560237526893616
556,164,0.9560237526893616
164,574,0.9560268521308899
574,164,0.9560268521308899
164,693,0.9560256600379944
693,164,0.9560256600379944
164,697,0.9560389518737793
697,164,0.9560389518737793
267,269,0.9560323357582092
269,267,0.9560323357582092
267,303,0.9560469388961792
303,267,0.9560469388961792
267,318,0.9560348391532898
318,267,0.9560348391532898
267,382,0.9560481905937195
382,267,0.9560481905937195
267,400,0.9560467004776001
400,267,0.9560467004776001
267,465,0.9560323357582092
465,267,0.9560323357582092
267,473,0.956060528755188
